;"Cycle number";"Cycle day (day)";"Cycle hour (minute)";"Type (0:Ev 1:Pump)";"Hour (minute)";"Pressure (dbar)";"Activation delay (cs)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;0;500;873;7
;;;;0;560;945;5
;;;;0;13638;997;5
;;;;0;13693;1052;35
;;;;0;13813;1360;28
;;;;0;13933;1621;17
;;;;0;14033;1837;5;;
;14;124;1110;0;14088;1899;5
;;;;0;14143;1969;5
;;;;1;14299;2024;720
;;;;1;14301;2019;720
;;;;1;14311;1970;720
;;;;1;14329;1877;720
;;;;1;14407;1386;720
;;;;1;14435;1222;720
;;;;1;14483;948;720
;;;;1;14503;840;720
;;;;1;14577;435;720
;;;;1;14617;199;720
;;;;1;14635;97;720;;
;14;124;1110;1;14666;1;24000
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0;;
;15;134;1401;0;31;22;27
;;;;0;36;24;286
;;;;0;136;240;50
;;;;0;236;424;44
;;;;0;341;646;23
;;;;0;431;806;11
;;;;0;466;842;23
;;;;1;546;1041;50
;;;;1;551;1048;101
;;;;1;556;1048;203
;;;;0;5138;964;5
;;;;0;13647;1021;5
;;;;0;13677;1059;35;;
;15;134;1401;0;13797;1362;28
;;;;0;13907;1654;13
;;;;0;13987;1806;7
;;;;0;14057;1904;5
;;;;0;14097;1951;5
;;;;1;14305;2028;720
;;;;1;14307;2021;720
;;;;1;14335;1870;720
;;;;1;14379;1628;720
;;;;1;14423;1379;720
;;;;1;14453;1222;720
;;;;1;14514;875;720
;;;;1;14544;710;720;;
;15;134;1401;1;14592;435;720
;;;;1;14646;136;720
;;;;1;14654;96;720
;;;;1;14656;87;720
;;;;1;14658;78;720
;;;;1;14684;1;24000
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0;;
;16;145;275;0;55;60;16
;;;;0;60;49;33
;;;;0;65;39;67
;;;;0;70;40;225
;;;;0;180;329;31
;;;;0;275;465;43
;;;;0;390;715;15
;;;;0;480;824;10
;;;;0;515;877;10
;;;;0;13633;1002;5
;;;;0;13683;1057;35
;;;;0;13803;1361;28
;;;;0;13938;1645;14;;
;16;145;275;0;14048;1806;7
;;;;0;14098;1897;5
;;;;0;14138;1959;5
;;;;1;14294;2016;720
;;;;1;14296;2009;720
;;;;1;14324;1862;720
;;;;1;14372;1590;720
;;;;1;14401;1425;720
;;;;1;14438;1224;720
;;;;1;14506;849;720
;;;;1;14526;739;720
;;;;1;14592;378;720
;;;;1;14620;221;720;;
;16;145;275;1;14654;29;720
;;;;1;14656;21;720
;;;;1;14674;0;24000
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0
;;;;0;0;0;0;;
;17;155;576;0;103;178;7
;;;;0;118;187;76
;;;;0;233;430;38
;;;;0;323;614;27
;;;;0;423;822;8
;;;;0;473;891;5
;;;;0;508;935;5
;;;;0;13637;1003;5
