"Cycle day (day)";16;26;5;15;25;6;16;26;5;16;26;6;16;26;6;16;26;5;15;26;7;17;27;6;17;27;7;17;27;7;17;27;7;18;28;7;17;27;7;17;27;7;17
"Number of entrance in drift target range (descent)";1;1;1;1;1;1;2;1;1;4;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Number of repositions";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Minimum pressure in drift to parking depth (dbar)";962;999;987;1005;958;958;946;978;982;956;989;998;1005;1009;994;988;985;1009;973;956;956;952;981;988;1003;941;992;994;1000;991;1002;995;980;998;999;985;976;969;976;986;963;966;986
"Maximum pressure in drift to parking depth (dbar)";983;1034;1027;1032;994;1022;1037;1017;1016;1009;1019;1029;1031;1028;1021;1015;1008;1025;993;1002;987;1057;1016;1005;1026;1038;1012;1015;1011;1004;1015;1012;997;1014;1016;1008;986;985;993;1010;990;1001;1053
"Number of valve actions in parking";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Number of pump actions in parking";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"-----DESCENT TO PROFILE DEPTH-----";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"descent start time (h)";4.71666;9.71666;14.7167;19.7167;0.716666;5.71666;10.7167;15.7167;20.7167;1.71667;6.71666;11.7;16.7167;21.7167;2.71667;7.71666;12.7167;17.7167;22.7167;3.71667;8.71666;13.7167;18.7167;23.7;4.71666;9.71666;14.7167;19.7167;0.716666;5.71666;10.7167;15.7167;20.7167;1.71667;6.71666;11.7167;16.7167;21.7167;2.71667;7.71666;12.7167;17.7167;22.7167
"End of descent time (h)";14.4167;18.1667;23.8333;5;9.5;15.0833;19.5833;1;5.66666;12.8833;16.5833;21.5;2.33333;7.25;13.4167;17.5833;22.5833;3.25;8.58333;13.3333;18.8333;22.25;3.75;9.4;14.3333;20.8833;0.25;5.25;10.5;14.9167;20.0833;1.16667;6.58333;11.25;16.5833;21.25;2.91667;7.66666;12.0833;17.4167;23;3.41667;8.66666
"Number of valve actions in descent";7;6;7;7;6;7;7;7;7;8;7;7;7;7;7;7;7;7;7;7;7;6;7;7;7;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"Number of pump actions in descent";0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Max pressure in descent to profile (dbar)";2030;1988;2013;2027;1994;2023;2027;2013;2003;2033;2015;2031;2016;2023;2028;2012;2029;2023;2023;2010;2010;1971;1991;2021;2004;2033;2022;2018;2017;2009;2012;2000;2013;2021;2025;2013;2011;2031;2016;2002;1999;2012;2022
"-----DRIFT TO PROFILE PHASE-----";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Number of entrance in drift target range";1;1;1;1;1;1;1;1;1;3;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1
"Number of re-positioning in profile stand-by";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Number of valve actions in drift to Profile";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Number of pump actions in drift to Profile";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Minimum pressure in drift to Profile (dbar)";2029;1984;2013;2025;1984;2012;2027;2013;2003;2014;2006;2013;2016;2023;2028;2012;2029;2023;2016;2010;2009;1969;1991;2021;2004;2029;2014;2018;2010;2009;2012;1996;2013;2021;2023;2013;2011;2009;2016;2002;1999;2012;2016
"Maximum pressure in drift to Profile (dbar)";2031;1993;2034;2027;1994;2028;2029;2019;2022;2014;2019;2030;2018;2026;2033;2027;2033;2025;2024;2012;2010;1973;2013;2023;2024;2029;2025;2020;2020;2022;2013;2004;2015;2024;2026;2016;2013;2029;2018;2025;2010;2025;2022
"-----ASCENT PHASE-----";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ascent start time (h)";15.7333;20.85;1.73333;6.73333;11.8667;16.7667;21.7333;2.78333;7.75;12.8833;17.8;22.7833;3.76667;8.73333;13.7333;18.75;23.7167;4.75;9.76666;14.7833;19.7833;0.9;5.78333;10.75;15.75;20.8833;1.75;6.76666;11.7833;16.75;21.7833;2.81667;7.78333;12.75;17.75;22.7667;3.78333;8.78333;13.7667;18.75;23.8;4.75;9.76666
"Time at end of ascent (h)";22.2167;3.08333;8.15;13.1667;18.1333;23.0167;4.16667;9.23333;14.1833;19.25;0.0666666;5.2;10.15;15.2333;20.1833;0.816666;6.03333;11.0667;16;21.0167;2.18333;7.1;12.1667;17.1833;22.1333;3.3;8.16666;13.1833;18.1667;23.1;4.26666;9.1;14.2;19.3;0.233333;5.2;10.2167;15.15;20.15;1.1;6.2;11.2167;16.2
"Number of pump actions in ascent";14;12;13;13;12;11;13;12;12;11;11;11;10;11;11;15;12;11;10;10;10;11;10;10;11;11;11;12;11;11;12;12;12;13;13;13;13;13;12;12;13;12;13
"-----GENERAL INFORMATIONS-----";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Float time : Hour";22;3;8;13;18;23;4;9;14;19;0;5;10;15;20;0;6;11;16;21;2;7;12;17;22;3;8;13;18;23;4;9;14;19;0;5;10;15;20;1;6;11;16
"Float time : Minute";15;6;11;12;9;2;12;15;13;16;5;15;10;16;13;51;3;6;2;2;12;7;11;12;10;20;12;12;11;7;18;7;14;19;15;13;14;10;10;8;13;15;13
"Float time : Second";14;24;7;18;49;26;54;48;4;43;24;3;35;11;12;42;29;42;5;46;57;25;56;54;26;3;22;54;42;55;12;54;20;20;58;25;23;54;54;1;54;16;29
"Float time : Day";25;5;15;25;5;15;26;5;15;25;6;16;26;5;15;26;5;15;25;6;17;27;6;16;26;7;17;27;6;16;27;7;17;27;7;17;27;6;16;27;7;17;27
"Float time : Month";8;9;9;9;10;10;10;11;11;11;12;12;12;1;1;1;2;2;2;3;3;3;4;4;4;5;5;5;6;6;6;7;7;7;8;8;8;9;9;9;10;10;10
